City;Population;"Violent crime";"Murder and nonnegligent manslaughter";"Forcible rape";Robbery;"Aggravated assault";"Property crime";Burglary;"Larceny- theft";"Motor vehicle theft";Arson
Arvada;109029;158;0;22;29;107;2605;390;2014;201;20
Aspen;6734;12;0;4;0;8;308;23;280;5;2
Ault;1577;3;0;0;0;3;2;0;1;1;0
Aurora;336952;1433;29;179;483;742;10059;1791;7370;898;72
Avon;6453;22;1;7;0;14;96;9;86;1;1
Basalt;3889;14;0;0;4;10;43;4;33;6;0
Berthoud;5278;2;0;0;0;2;62;10;50;2;0
Black Hawk;120;4;0;0;0;4;170;6;159;5;0
Blue River;860;0;0;0;0;0;3;0;3;0;0
Boulder;100257;249;0;32;48;169;2937;472;2337;128;26
Bow Mar;894;1;0;0;1;0;7;0;7;0;0
Broomfield;58145;30;1;7;6;16;1213;90;1076;47;6
Brush;5365;1;0;0;1;0;49;11;36;2;0
Buena Vista;2674;0;0;0;0;0;1;0;1;0;0
Burlington;4130;21;0;3;0;18;72;9;59;4;0
Campo;111;0;0;0;0;0;0;0;0;0;0
Canon City;16727;93;0;23;4;66;539;75;445;19;4
Carbondale;6501;7;0;1;1;5;144;21;114;9;0
Castle Rock;50038;45;1;12;7;25;666;102;538;26;7
Cedaredge;2247;1;0;0;0;1;55;15;38;2;0
Centennial;104022;157;1;40;33;83;1439;277;1085;77;16
Center;2311;7;0;0;0;7;43;15;26;2;1
Cherry Hills Village;6206;3;0;1;0;2;94;25;65;4;0
Colorado Springs;432287;1968;18;358;523;1069;17899;3641;12456;1802;76
Columbine Valley;1302;0;0;0;0;0;5;2;3;0;0
Commerce City;47590;170;7;27;17;119;1420;295;1001;124;6
Cortez;8568;26;0;0;3;23;297;18;265;14;0
Craig;9357;14;1;4;0;9;261;37;217;7;4
Crested Butte;1517;3;0;0;1;2;28;9;13;6;0
Cripple Creek;1206;17;0;0;0;17;74;9;63;2;0
Dacono;4308;5;0;1;0;4;4;2;2;0;0
De Beque;512;0;0;0;0;0;6;1;5;0;0
Del Norte;1706;1;0;0;0;1;17;8;9;0;0
Delta;8890;19;0;2;5;12;320;54;255;11;10
Denver;628545;3871;39;376;1165;2291;23343;5129;14544;3670;97
Dillon;927;0;0;0;0;0;31;8;23;0;1
Durango;17305;53;1;3;6;43;418;47;357;14;3
Eagle;6555;7;0;2;0;5;70;8;61;1;0
Eaton;4529;4;0;0;0;4;2;0;2;0;0
Elizabeth;1381;4;0;0;1;3;32;7;25;0;0
Empire;284;0;0;0;0;0;2;0;1;1;0
Englewood;31358;61;0;12;27;22;1800;220;1402;178;8
Erie;18761;9;0;0;1;8;107;23;82;2;0
Estes Park;6059;11;0;1;3;7;96;17;79;0;0
Evans;19236;79;0;2;10;67;386;55;304;27;2
Federal Heights;11886;81;1;19;11;50;667;86;508;73;2
Firestone;10529;4;0;1;0;3;97;12;74;11;2
Florence;3960;4;0;0;0;4;70;9;59;2;0
Fort Collins;148792;391;2;44;40;305;4119;598;3379;142;15
Fort Lupton;7655;8;0;0;1;7;55;5;42;8;1
Fort Morgan;11586;14;0;0;2;12;324;57;259;8;1
Fountain;26841;68;0;11;12;45;711;121;554;36;3
Fowler;1201;1;0;0;1;0;8;1;7;0;0
Frederick;9007;3;0;0;1;2;113;18;93;2;0
Frisco;2717;4;0;1;0;3;34;6;27;1;1
Fruita;12852;17;0;1;2;14;246;38;195;13;1
Georgetown;1039;4;0;0;0;4;4;3;1;0;0
Glenwood Springs;9727;33;0;3;3;27;530;70;431;29;2
Golden;19298;31;0;3;4;24;471;55;397;19;2
Granby;1852;5;0;1;1;3;45;6;39;0;0
Grand Junction;59516;252;2;52;29;169;2733;308;2295;130;18
Greeley;96276;426;1;40;64;321;3243;542;2560;141;33
Green Mountain Falls;664;1;0;1;0;0;0;0;0;0;0
Greenwood Village;14434;28;1;1;4;22;538;91;424;23;3
Gunnison;5967;28;0;5;1;22;234;16;214;4;0
Haxtun;950;1;0;0;0;1;2;0;2;0;0
Hayden;1814;1;0;0;0;1;19;4;15;0;0
Holyoke;2322;0;0;0;0;0;10;3;6;1;0
Idaho Springs;1726;7;0;0;1;6;71;10;57;4;1
Ignacio;721;0;0;0;0;0;0;0;0;0;0
Johnstown;10259;7;0;0;0;7;88;9;72;7;0
Kersey;1509;5;0;1;0;4;21;3;14;4;1
Kiowa;736;2;0;1;0;1;10;3;7;0;0
Lafayette;25209;54;0;7;11;36;403;70;317;16;5
La Junta;7187;20;0;4;2;14;188;49;132;7;2
Lakeside;8;1;0;0;0;1;18;4;14;0;0
Lakewood;146404;676;2;94;148;432;6705;917;5180;608;15
Lamar;8035;9;0;0;2;7;292;55;227;10;0
La Salle;2030;2;0;0;0;2;37;5;31;1;0
La Veta;788;1;0;1;0;0;14;8;6;0;1
Leadville;2680;8;0;2;1;5;37;4;32;1;0
Limon;1900;7;0;0;0;7;16;0;14;2;0
Littleton;43229;56;4;20;15;17;1248;256;911;81;3
Lone Tree;11488;6;0;0;0;6;597;33;554;10;0
Longmont;88925;188;0;11;30;147;2169;359;1705;105;57
Loveland;69147;145;0;22;22;101;1798;227;1525;46;20
Mancos;1348;1;0;0;0;1;1;1;0;0;0
Manitou Springs;5184;14;0;1;2;11;150;21;119;10;0
Mead;3532;2;0;0;1;1;34;5;25;4;2
Meeker;2554;2;0;0;0;2;27;9;17;1;0
Minturn;1037;1;0;0;0;1;17;1;15;1;0
Monte Vista;4495;13;2;1;5;5;206;60;143;3;1
Montrose;19274;42;1;0;3;38;693;112;555;26;3
Monument;5744;2;0;1;0;1;196;73;114;9;0
Morrison;437;3;0;0;3;0;4;1;2;1;0
Mount Crested Butte;817;6;0;0;0;6;6;1;5;0;0
New Castle;4570;7;0;0;0;7;56;7;44;5;0
Northglenn;37094;102;1;32;7;62;1015;173;708;134;11
Ouray;996;1;0;0;0;1;25;2;23;0;0
Pagosa Springs;1741;10;0;1;1;8;94;22;71;1;0
Palisade;2735;4;0;0;0;4;3;2;1;0;1
Palmer Lake;2512;3;0;1;0;2;11;4;6;1;0
Parachute;1098;5;0;0;0;5;45;25;18;2;0
Parker;47004;59;0;11;3;45;449;103;325;21;4
Pueblo;109065;797;8;21;199;569;7030;1895;4642;493;43
Rangely;2438;5;0;1;1;3;14;3;8;3;0
Rocky Ford;4019;1;0;0;0;1;39;15;22;2;0
Salida;5347;7;0;0;0;7;194;24;169;1;0
Severance;3284;2;0;2;0;0;5;0;3;2;0
Sheridan;5871;35;0;0;10;25;390;53;288;49;1
Silt;2965;3;0;2;0;1;79;14;59;6;0
Silverthorne;3930;2;0;1;0;1;83;2;79;2;2
Snowmass Village;2857;0;0;0;0;0;48;2;46;0;0
South Fork;382;0;0;0;0;0;1;1;0;0;0
Springfield;1474;1;0;0;0;1;5;0;5;0;0
Steamboat Springs;12116;35;0;8;4;23;322;45;259;18;2
Sterling;14929;31;1;3;3;24;431;110;310;11;1
Stratton;676;0;0;0;0;0;9;2;7;0;0
Telluride;2401;6;0;0;0;6;115;8;105;2;0
Thornton;123115;332;1;58;41;232;3257;476;2431;350;24
Timnath;647;2;0;0;0;2;26;2;23;1;1
Trinidad;8939;18;0;1;7;10;166;41;120;5;0
Vail;5343;22;0;2;0;20;280;22;252;6;0
Walsenburg;3021;25;0;3;6;16;125;36;87;2;0
Walsh;556;1;0;0;0;1;3;0;3;0;0
Westminster;109461;284;2;29;51;202;2830;395;2146;289;11
Wheat Ridge;30886;117;2;19;24;72;1204;182;930;92;12
Windsor;19330;2;0;0;0;2;222;37;182;3;2
Woodland Park;7301;10;0;2;0;8;90;15;68;7;1
Wray;2387;1;0;0;0;1;4;2;2;0;0
Yuma;3593;4;0;3;0;1;23;4;18;1;0
